ep_id,title,season,ep_num,air_date,description,imdb_rate,show_id
0592902,A Hard Day's Night,1,1,27 Mar 2005,"Meet Meredith Grey: daughter of famous surgeon Ellis Grey and first-year intern at Seattle Grace Hospital. On her first day, she meets her fellow interns: Cristina Yang, a highly competitive Stanford graduate; George O'Malley, a quirky, warmhearted guy; and Izzie Stevens, a former model who's always optimistic. Overseeing them is Miranda Bailey, dubbed ""The Nazi"" by her coworkers. Meredith also gets a surprise when she realizes that her one-night stand from the night before is her new boss.—Alex",8.3,413573
0592923,The First Cut Is the Deepest,1,2,03 Apr 2005,The surgical staff tries to be optimistic as a young woman clings to life after a brutal attack. Meanwhile Meredith puts her career on the line to save a newborn in the hospital nursery and the other interns learn that it takes more than just medical knowledge to be good at their jobs.—Alex,8.1,413573
0592926,"Winning a Battle, Losing the War",1,3,10 Apr 2005,"A bike race injures several people, one of whom is left brain dead. Cristina and Izzie want to use his organs for organ donation, but they find the organ harvesting process an emotional one. Meanwhile, George deals with an over-flirtatious patient and Meredith has to deal with Izzie and George moving in, Alex showing off, and keeping Derek at arm's length.—Alex",8.0,413573
0592915,No Man's Land,1,4,17 Apr 2005,"George feels less masculine when Izzie and Meredith treat him like a sister. When Izzie's last modeling shoot is published Alex decides to play a cruel joke on her, and a patient recognizes her. Meanwhile, Derek treats a patient who has several nails stuck in his head, and a woman who knew Meredith's mother arrives in the hospital.—Alex",8.0,413573
0592919,Shake Your Groove Thing,1,5,24 Apr 2005,"Meredith realizes that she must take on a lot more responsibility when she is told that her mother needs to sign over all of her assets to her. Izzie prepares to have a party for her boyfriend Hank's visit, but the size of the party far exceeds her expectations. Meredith has her first heart surgery, during which she fears that she has accidentally damaged the patient's heart. Meanwhile, Cristina and Burke hit it off.—Alex",8.1,413573
0592909,If Tomorrow Never Comes,1,6,01 May 2005,"All of the interns are in awe when a woman comes in with a record-breaking tumor, but it is so far advanced that the woman's prognosis is not good. Now that Bailey knows about Meredith and Derek's affair, their jobs are in jeopardy and she strongly advises Meredith to end it. Meanwhile, Cristina and Burke's secret relationship gets more complicated and, when no one else can be reached, Izzie has to perform a major procedure on her own.—Alex",8.1,413573
0592924,The Self-Destruct Button,1,7,08 May 2005,"Derek and Meredith try to be discreet as they spend the night together at Meredith's house, but their haggard appearance speaks volumes to Bailey, who warns Meredith to end the relationship. Meanwhile, George suspects an anesthesiologist of drinking on the job, Alex treats a former competitor who now finds honor in self-mutilation, Izzie has to deal with a patient who won't let his girlfriend go, literally, and Cristina battles a case of what seems to be the flu.—Alex",8.1,413573
0592918,Save Me,1,8,15 May 2005,"Meredith grows increasingly dissatisfied with fact that she knows nothing about Derek's life. Meanwhile, Alex treats a patient whose religious beliefs jeopardize her chances for recovery, and Izzie contemplates reconnecting with her estranged mother. Also, a pregnant woman in her 40s who's been diagnosed with cancer disagrees with Cristina's medical advice. And the interns are mystified by a patient who's being treated for seizures and who thinks he's psychic.—Alex",8.0,413573
0592925,Who's Zoomin' Who?,1,9,22 May 2005,"A sexually transmitted disease breaks out and affects several members of the hospital staff. Meanwhile, Webber reluctantly tells Derek about his own medical concerns. Izzie and Cristina worry about a patient's wife and daughter who can't agree on his care. Burke treats his college buddy Bill, whose medical diagnosis raises some questions regarding his wife's actions. And just as Meredith and Derek grow more intimate, a surprise from his past shows up.—Alex",8.6,413573
0592917,Raindrops Keep Falling on My Head,2,1,25 Sep 2005,"Barowner Joe collapses in his bar and needs to undergo an $200,000 surgery to survive. Since Joe has no insurance George tries to find a way to get the money together. Dr. Webber is recovering from his operation and appointed Burke as his replacement. Burke has now to face the consequences that come with the responsibilities of his new position. The return of his wife Addison puts an end to Derek's relationship with Meredith. Meredith herself is more concerned with the pregnancy of Christina and her secret relationship with Burke.—SSS",8.3,413573
